Charlotte,NC 0
Comer,GA 151.641
Bee,VA 151.76
Warriormine,WV 152.011
Carnesville,GA 152.034
Pageton,WV 152.292
Elkhorn,WV 152.387
Keen Mountain,VA 152.432
Ivanhoe,NC 152.484
Murrells Inlet,SC 152.607
Thomson,GA 152.807
Maybeury,WV 152.823
Goldbond,VA 152.842
Middlesex,NC 152.899
Stovall,NC 152.94
Kegley,WV 153.031
Duffield,VA 153.079
Catawba,VA 153.121
War,WV 153.197
Bolton,NC 153.248
Moneta,VA 153.306
Rock,WV 153.306
Kenly,NC 153.396
Dearing,GA 153.675
Coeburn,VA 153.706
Nelson,VA 153.786
Peterstown,WV 153.822
Pilgrims Knob,VA 153.919
Blythe,GA 153.951
Cordesville,SC 153.976
Huddleston,VA 154.016
Little River,SC 154.02
Bunn,NC 154.1
Gary,WV 154.195
Eidson,TN 154.202
Jamestown,SC 154.275
Vinton,VA 154.291
Longwood,NC 154.425
Danielsville,GA 154.492
Mooresburg,TN 154.614
Summerville,SC 154.682
Pawleys Island,SC 154.694
Ash,NC 154.698
Hurt,VA 154.73
Calabash,NC 154.934
Morristown,TN 155.03
Oakwood,VA 155.09
Crumpler,WV 155.111
Georgetown,SC 155.25
Rayle,GA 155.349
Vansant,VA 155.409
Clarkesville,GA 155.445
Bullock,NC 155.525
Kyle,WV 155.73
Mount Olive,NC 155.821
Bartley,WV 155.87
Mount Airy,GA 155.892
Mc Clure,VA 155.93
Andover,VA 156.012
Lynch Station,VA 156.056
Hiawatha,WV 156.087
Lashmeet,WV 156.167
Jolo,WV 156.181
Big Stone Gap,VA 156.208
North Myrtle Beach,SC 156.24
Kyles Ford,TN 156.272
Lexington,GA 156.319
Allendale,SC 156.364
Northfork,WV 156.38
Miley,SC 156.409
East Stone Gap,VA 156.521
Fairfax,SC 156.545
Ruffin,SC 156.559
Athens,WV 156.607
Cottageville,SC 156.692
Riegelwood,NC 156.82
Turnerville,GA 156.866
Sevierville,TN 156.891
Spanishburg,WV 156.897
Welch,WV 156.904
Lindside,WV 156.947
Matoaka,WV 156.955
Clinchco,VA 156.987
Raysal,WV 156.99
Mesena,GA 157.027
Atkinson,NC 157.076
Buffalo Junction,VA 157.101
Ila,GA 157.112
Birchleaf,VA 157.265
Scottsburg,VA 157.464
Magnolia,NC 157.479
Lerona,WV 157.484
Girard,GA 157.55
Long Island,VA 157.558
Warsaw,NC 157.704
Rose Hill,NC 157.711
Blackwater,VA 157.846
Kimball,WV 157.89
Wise,VA 157.894
Henderson,NC 157.964
Bradshaw,WV 158.005
Dandridge,TN 158.067
Sunset Beach,NC 158.246
Walterboro,SC 158.281
Talbott,TN 158.288
Beeson,WV 158.361
Cloverdale,VA 158.409
Brunson,SC 158.427
Sims,NC 158.451
Dudley,NC 158.619
Islandton,SC 158.706
Bailey,NC 158.779
Colbert,GA 158.81
Ladson,SC 158.829
Nathalie,VA 158.836
Delco,NC 158.863
Louisburg,NC 158.955
Norton,VA 159.059
Topton,NC 159.094
Baldwin,GA 159.147
Camak,GA 159.169
Bean Station,TN 159.191
Round O,SC 159.213
Dryden,VA 159.284
Pigeon Forge,TN 159.361
Almond,NC 159.485
Matthews,GA 159.61
Harman,VA 159.634
Huger,SC 159.636
Jefferson City,TN 159.744
Pipestem,WV 159.815
Waiteville,WV 159.879
Ballard,WV 159.927
Goldsboro,NC 160.029
Blue Ridge,VA 160.045
Crawford,GA 160.105
Wilcoe,WV 160.206
Thorpe,WV 160.257
Camp Creek,WV 160.289
Eckman,WV 160.336
Goose Creek,SC 160.345
Covel,WV 160.35
Premier,WV 160.388
Paynesville,WV 160.406
Keysville,GA 160.424
Waynesboro,GA 160.533
Lucama,NC 160.634
Hemphill,WV 160.634
Homer,GA 160.668
Grundy,VA 160.79
Hull,GA 160.93
Calypso,NC 160.989
Crawfordville,GA 161.048
Daleville,VA 161.059
Altavista,VA 161.103
Demorest,GA 161.208
Shallotte,NC 161.422
Townsville,NC 161.518
Willard,NC 161.576
Greenville,WV 161.61
Troutville,VA 161.678
Ocean Isle Beach,NC 161.703
Avondale,WV 161.713
Spring Hope,NC 161.715
Forest Hill,WV 161.737
Haysi,VA 161.744
Wolford,VA 161.838
Hampton,SC 161.878
Norwood,GA 161.905
Teachey,NC 161.938
Appalachia,VA 162.154
Thaxton,VA 162.188
Clintwood,VA 162.366
New Castle,VA 162.422
Flat Top,WV 162.45
Warrenton,GA 162.469
Herndon,WV 162.484
Commerce,GA 162.516
Roderfield,WV 162.582
Hayesville,NC 162.763
Pikeville,NC 162.789
Mc Clellanville,SC 162.801
Clarksville,VA 162.891
Wolfcreek,WV 162.9
Sharon,GA 162.939
Pennington Gap,VA 162.952
Hiawassee,GA 163.068
Bedford,VA 163.145
Maxeys,GA 163.21
Thorn Hill,TN 163.238
Sneedville,TN 163.247
Ben Hur,VA 163.277
Fremont,NC 163.301
Keokee,VA 163.311
Davy,WV 163.383
Big Sandy,WV 163.402
Middleburg,NC 163.503
Gifford,SC 163.711
Cornelia,GA 163.767
Bud,WV 163.795
Hensley,WV 163.94
Winterville,GA 163.953
Red Oak,VA 164.072
Sardis,GA 164.154
Maxie,VA 164.205
Wrens,GA 164.425
Wayside,WV 164.482
Montvale,VA 164.499
Evington,VA 164.562
Alto,GA 164.713
Iaeger,WV 164.717
Watha,NC 164.719
Crystal Hill,VA 164.825
Stephenson,WV 165.015
Kenansville,NC 165.063
Jonesville,VA 165.126
Currie,NC 165.139
Gladys,VA 165.253
New Market,TN 165.273
Odd,WV 165.274
Pound,VA 165.346
Charleston Afb,SC 165.362
Stephens,GA 165.369
Arnoldsville,GA 165.384
Clover,VA 165.433
Kodak,TN 165.46
Union,WV 165.554
New Richmond,WV 165.613
Black Creek,NC 165.616
Supply,NC 165.649
Awendaw,SC 165.8
Nicholson,GA 166.077
Manson,NC 166.083
Wilson,NC 166.144
North Charleston,SC 166.168
Corinne,WV 166.172
Stapleton,GA 166.249
Big Rock,VA 166.268
Paint Bank,VA 166.311
Wolf Pen,WV 166.314
Skipwith,VA 166.364
Gough,GA 166.391
Sautee Nacoochee,GA 166.483
Lowry,VA 166.506
Castalia,NC 166.59
Breaks,VA 166.595
Holmes Mill,KY 166.676
Luray,SC 166.685
Ballengee,WV 166.71
Nimitz,WV 166.81
Itmann,WV 166.917
Saint Charles,VA 167.075
Wallace,NC 167.09
Brookneal,VA 167.247
Allen Junction,WV 167.365
Jumping Branch,WV 167.393
Rutledge,TN 167.462
Ghent,WV 167.514
Talcott,WV 167.538
Seven Springs,NC 167.676
Pineville,WV 167.728
Fincastle,VA 167.746
Union Point,GA 167.777
Adams Run,SC 167.985
Gap Mills,WV 168.018
Andrews,NC 168.018
Ashcamp,KY 168.047
Lynch,KY 168.076
Panther,WV 168.133
Ridgeway,NC 168.17
Mullens,WV 168.204
Perkins,GA 168.262
Eolia,KY 168.33
Norlina,NC 168.381
Josephine,WV 168.6
Robbinsville,NC 168.641
Helen,GA 168.648
Leland,NC 168.671
Hurley,VA 168.7
Lula,GA 168.754
Rhodell,WV 168.757
Varnville,SC 168.778
Green Sulphur Springs,WV 168.792
Maysville,GA 168.82
Jonben,WV 168.842
Ravenel,SC 168.935
Mohawk,WV 168.962
Athens,GA 169.001
Naruna,VA 169.009
Burdine,KY 169.084
Wyoming,WV 169.203
Kenvir,KY 169.329
Gibson,GA 169.373
Shelby Gap,KY 169.451
Fontana Dam,NC 169.468
Wylliesburg,VA 169.472
Townsend,TN 169.502
Closplint,KY 169.52
Nashville,NC 169.617
Benham,KY 169.617
Elkhorn City,KY 169.761
Jacksonboro,SC 169.837
Pence Springs,WV 169.857
Goode,VA 169.927
Partridge,KY 169.941
Mayking,KY 169.964
Seymour,TN 169.991
Cranks,KY 170.004
Helen,WV 170.026
Ikes Fork,WV 170.026
Mouthcard,KY 170.05
Cool Ridge,WV 170.055
Fanrock,WV 170.085
Randolph,VA 170.13
Hellier,KY 170.15
Secondcreek,WV 170.251
Albertson,NC 170.285
Amigo,WV 170.3
Cawood,KY 170.325
Steele,KY 170.385
Saxe,VA 170.405
Boydton,VA 170.471
Furman,SC 170.64
Strawberry Plains,TN 170.79
Coal City,WV 170.846
Isaban,WV 170.923
Brenton,WV 170.942
Sinks Grove,WV 170.954
Hanover,WV 170.996
Mitchell,GA 171.179
White Oak,WV 171.254
Rustburg,VA 171.271
Cromona,KY 171.345
Hinton,WV 171.376
Belcher,KY 171.405
Lick Creek,KY 171.441
Forest,VA 171.499
Walland,TN 171.559
Stantonsburg,NC 171.585
Princewick,WV 171.603
Gillsville,GA 171.613
Cumberland,KY 171.636
Burgaw,NC 171.689
Jenkins,KY 171.693
Charleston,SC 171.717
Rose Hill,VA 171.818
Early Branch,SC 172.079
Siloam,GA 172.081
Lookout,KY 172.102
Bolivia,NC 172.225
Rockhouse,KY 172.232
Blaine,TN 172.328
Buchanan,VA 172.334
Oriskany,VA 172.368
Maben,WV 172.469
North Spring,WV 172.488
Seco,KY 172.523
Mc Roberts,KY 172.528
Cleveland,GA 172.552
Fedscreek,KY 172.594
Warrenton,NC 172.723
Rocky Point,NC 172.773
Elm City,NC 172.773
Stopover,KY 172.894
Jewell,GA 172.9
Mount Pleasant,SC 172.938
La Grange,NC 173.049
Rock View,WV 173.054
Wise,NC 173.113
Neon,KY 173.116
Evarts,KY 173.223
Dorton,KY 173.231
Washburn,TN 173.25
Tazewell,TN 173.358
Mary Alice,KY 173.499
Baisden,WV 173.56
Phelps,KY 173.596
Clear Fork,WV 173.609
Red Oak,NC 173.806
Justice,WV 173.809
Regina,KY 173.838
Jefferson,GA 173.84
Winnabow,NC 173.869
Avera,GA 173.877
Mascot,TN 173.94
Millstone,KY 173.965
Chase City,VA 174.04
Phenix,VA 174.047
Ermine,KY 174.068
Linefork,KY 174.166
Glen Morgan,WV 174.23
Saratoga,NC 174.251
Sharpsburg,NC 174.283
Sophia,WV 174.395
Myra,KY 174.453
Mc Graws,WV 174.464
Clermont,GA 174.476
Phyllis,KY 174.486
Arthur,TN 174.577
Jesse,WV 174.62
Thornton,KY 174.712
Jackhorn,KY 174.734
Lone Mountain,TN 174.818
Sabine,WV 174.877
Young Harris,GA 174.956
Powder Springs,TN 174.974
Daniels,WV 175.04
Marble,NC 175.085
Greensboro,GA 175.118
Slab Fork,WV 175.144
Matheny,WV 175.175
Warne,NC 175.177
Midway,WV 175.183
Majestic,KY 175.241
Coalgood,KY 175.303
Whitesburg,KY 175.389
Simon,WV 175.46
Shady Spring,WV 175.46
Estill,SC 175.519
Jonancy,KY 175.548
Drakes Branch,VA 175.598
Blue Jay,WV 175.599
Beulaville,NC 175.689
Hollywood,SC 175.747
Ronceverte,WV 175.77
Totz,KY 175.775
Caldwell,WV 175.792
Louisville,GA 176.014
Scotia,SC 176.024
Yemassee,SC 176.139
Gordon,KY 176.144
Baskerville,VA 176.146
Glen White,WV 176.163
Wharncliffe,WV 176.212
Fort Mitchell,VA 176.274
Sylvania,GA 176.333
Gulston,KY 176.389
Watkinsville,GA 176.407
Glen Fork,WV 176.417
Pendergrass,GA 176.446
Shelbiana,KY 176.535
Rocky Mount,NC 176.539
Roxana,KY 176.599
Crab Orchard,WV 176.701
Pink Hill,NC 176.713
Coal Mountain,WV 176.733
Green Pond,SC 176.79
Castle Hayne,NC 176.795
Ravencliff,WV 176.859
White Plains,GA 176.872
Red House,VA 176.873
Sandstone,WV 176.911
Deane,KY 176.911
Brasstown,NC 176.931
Isle Of Palms,SC 176.996
Chinquapin,NC 177.003
Hollister,NC 177.042
Glen Rogers,WV 177.103
Raleigh,WV 177.169
Bogart,GA 177.18
Macon,NC 177.222
Premium,KY 177.296
Lynchburg,VA 177.329
Virgie,KY 177.335
Lester,WV 177.363
Edgarton,WV 177.454
Harlan,KY 177.484
Tallassee,TN 177.488
Hallie,KY 177.585
Southport,NC 177.615
Gilbert,WV 177.629
Walstonburg,NC 177.642
Mac Arthur,WV 177.666
Snow Hill,NC 177.767
Sullivans Island,SC 177.874
Farmington,GA 177.926
Rockford,TN 177.979
Talmo,GA 178.001
Big Island,VA 178.017
Bracey,VA 178.018
Putney,KY 178.036
Charlotte Court House,VA 178.112
Deep Run,NC 178.127
Oceana,WV 178.211
Alderson,WV 178.237
Statham,GA 178.287
Verner,WV 178.311
Mabscott,WV 178.373
Lynco,WV 178.379
Harrogate,TN 178.4
Delphia,KY 178.464
Coleman Falls,VA 178.709
Isom,KY 178.74
Jeremiah,KY 178.747
Freeburn,KY 178.824
Kimper,KY 178.915
Fairlea,WV 178.936
Ransom,KY 178.937
Luttrell,TN 178.947
Surveyor,WV 179.001
Bishop,GA 179.18
Weeksbury,KY 179.183
Beaver,WV 179.197
Corryton,TN 179.204
Grays Knob,KY 179.218
Murrayville,GA 179.235
Letcher,KY 179.333
Vaughan,NC 179.335
Baxter,KY 179.382
Fairdale,WV 179.421
Blairsville,GA 179.438
Sprague,WV 179.51
Pineland,SC 179.622
Millen,GA 179.64
Eccles,WV 179.675
Natural Bridge Station,VA 179.752
High Shoals,GA 179.799
Eagle Rock,VA 179.806
Johns Island,SC 180.016
Skelton,WV 180.041
Robinson Creek,KY 180.181
Kopperston,WV 180.214
Meadow Creek,WV 180.246
Wilmington,NC 180.307
Raccoon,KY 180.36
Concord,VA 180.362
Oak Island,NC 180.374
Bolt,WV 180.434
Blackey,KY 180.463
Wadmalaw Island,SC 180.476
Mc Andrews,KY 180.483
Pathfork,KY 180.485
Harper,WV 180.677
Ewing,VA 180.867
Pinsonfork,KY 180.874
Maryville,TN 180.883
Wheelwright,KY 180.908
Melvin,KY 181.019
Loyall,KY 181.048
Cyclone,WV 181.05
Slemp,KY 181.066
Kite,KY 181.174
Saxon,WV 181.174
Spout Spring,VA 181.187
Bruno,WV 181.245
Kistler,WV 181.252
Davin,WV 181.281
Battleboro,NC 181.335
Grassy Meadows,WV 181.362
Stanaford,WV 181.376
Meadow Bridge,WV 181.392
Cornettsville,KY 181.424
Coosawatchie,SC 181.494
Stone,KY 181.556
Matewan,WV 181.559
New Tazewell,TN 181.602
Sheldon,SC 181.633
Asbury,WV 181.666
Beaver,KY 181.74
Beckley,WV 181.761
Bevinsville,KY 181.805
Gainesville,GA 181.821
Mallie,KY 181.828
Bypro,KY 181.841
Garnett,SC 181.892
South Hill,VA 181.898
Glen Daniel,WV 181.933
Lanark,WV 181.961
Ages Brookside,KY 182.079
Hardy,KY 182.117
Maynardville,TN 182.158
Piney View,WV 182.164
Alcoa,TN 182.236
Wallins Creek,KY 182.264
Redfox,KY 182.297
Pine Top,KY 182.331
Rocky Ford,GA 182.425
Elton,WV 182.555
North Matewan,WV 182.611
Warthen,GA 182.643
Bledsoe,KY 182.653
Mc Carr,KY 182.664
Arnett,WV 182.727
Covington,VA 182.797
Seabrook,SC 182.839
Pikeville,KY 182.923
Big Laurel,KY 182.982
Prosperity,WV 182.992
Teaberry,KY 183.001
Man,WV 183.045
Folly Beach,SC 183.102
Fountain,NC 183.223
Miracle,KY 183.301
Lobeco,SC 183.316
Dayhoit,KY 183.323
Mallory,WV 183.338
Dale,SC 183.379
Braselton,GA 183.439
Macclesfield,NC 183.582
Newtown,WV 183.608
Kinston,NC 183.619
Canada,KY 183.622
Red Jacket,WV 183.651
Sparta,GA 183.657
Natural Bridge,VA 183.664
Knoxville,TN 183.694
Winder,GA 183.699
Sarah Ann,WV 183.71
Huddy,KY 183.724
Prince,WV 183.725
Shawanee,TN 183.734
Whitakers,NC 183.736
Maury,NC 183.762
Topmost,KY 183.811
Terry,WV 183.874
Cullen,VA 183.916
Keysville,VA 183.982
Lewisburg,WV 183.999
Bostwick,GA 184.003
Pinetops,NC 184.107
Davisboro,GA 184.125
Hoschton,GA 184.185
Varney,WV 184.25
Lyburn,WV 184.263
Murphy,NC 184.365
Bradley,WV 184.548
Farmville,NC 184.559
Hoffman Forest,NC 184.581
Wadley,GA 184.639
Madison Heights,VA 184.693
Ebony,VA 184.704
Smoot,WV 184.767
Glen Wilton,VA 184.784
Hookerton,NC 184.836
Spring Dale,WV 184.84
Littcarr,KY 184.857
Mount Hope,WV 184.875
Good Hope,GA 184.94
Vonore,TN 185.013
Buckhead,GA 185.042
Midville,GA 185.048
Carolina Beach,NC 185.119
Littleton,NC 185.136
Cumberland Gap,TN 185.493
Accoville,WV 185.507
Kure Beach,NC 185.51
Rawl,WV 185.537
Amherstdale,WV 185.562
Lunenburg,VA 185.572
Coldiron,KY 185.593
Hi Hat,KY 185.659
Wrightsville Beach,NC 185.661
La Crosse,VA 185.673
Yeaddiss,KY 185.765
Lorado,WV 185.803
Vicco,KY 185.872
Maxwelton,WV 185.908
Sharps Chapel,TN 185.926
Evergreen,VA 185.942
Maple Hill,NC 185.967
Viper,KY 185.977
Pippa Passes,KY 186.004
Suches,GA 186.047
Low Moor,VA 186.072
Hulen,KY 186.089
Glasgow,VA 186.131
Sidney,KY 186.161
Sassafras,KY 186.165
Fords Branch,KY 186.191
Dema,KY 186.21
Mc Dowell,KY 186.259
Crawley,WV 186.265
Scuddy,KY 186.28
Edisto Island,SC 186.29
Harold,KY 186.303
Dahlonega,GA 186.413
Hampstead,NC 186.539
Oakwood,GA 186.574
Newington,GA 186.592
Kilsyth,WV 186.633
Forest Hills,KY 186.661
Dry Creek,WV 186.713
Middlesboro,KY 186.771
Omar,WV 186.82
Raven,KY 186.872
Ragland,WV 186.909
Glen Jean,WV 186.948
Rock Creek,WV 186.985
Grethel,KY 187.144
Calvin,KY 187.215
Garfield,GA 187.272
Enfield,NC 187.342
Wharton,WV 187.402
Comfort,NC 187.439
Bartow,GA 187.472
Madison,GA 187.574
Selma,VA 187.601
Garner,KY 187.612
Monroe,VA 187.69
Naoma,WV 187.738
Bethlehem,GA 187.871
Louisville,TN 187.904
Happy,KY 187.952
Iron Gate,VA 187.957
Appomattox,VA 187.974
White Sulphur Springs,WV 187.99
Layland,WV 188.051
Thurmond,WV 188.059
Chauncey,WV 188.111
South Williamson,KY 188.115
Pamplin,VA 188.219
Colcord,WV 188.343
Ridgeland,SC 188.395
Stoney Fork,KY 188.415
Pax,WV 188.575
Dover,GA 188.655
Yolyn,WV 188.738
Chestnut Mountain,GA 188.809
Powell,TN 188.818
Monroe,GA 188.865
Asher,KY 188.868
Helton,KY 188.887
Clyo,GA 188.893
Hindman,KY 188.921
Bald Knob,WV 188.926
Friendsville,TN 188.929
Smilax,KY 189.042
Flowery Branch,GA 189.284
Speedwell,TN 189.302
Culberson,NC 189.329
Mozelle,KY 189.342
Switzer,WV 189.362
Tillman,SC 189.382
Meherrin,VA 189.407
Wayland,KY 189.42
Auburn,GA 189.516
Jeff,KY 189.544
Varney,KY 189.553
Sweet Briar,VA 189.615
Minnie,KY 189.624
Clear Creek,WV 189.664
Falkland,NC 189.696
Danese,WV 189.723
Oliver,GA 189.837
Drift,KY 189.869
Henrico,NC 189.927
Delbarton,WV 189.958
White Plains,VA 189.994
Carrie,KY 189.995
Hilltop,WV 190.059
Kenbridge,VA 190.16
Williamson,WV 190.253
Chattaroy,WV 190.321
Kettle Island,KY 190.335
Printer,KY 190.342
Heiskell,TN 190.392
Twilight,WV 190.433
Clifton Forge,VA 190.437
Frankford,WV 190.496
Belfry,KY 190.544
Speed,NC 190.818
Greenback,TN 190.843
Betsy Layne,KY 190.875
Brodnax,VA 190.895
Tarboro,NC 190.985
Whitman,WV 191.059
Hazard,KY 191.108
Leburn,KY 191.152
Wooton,KY 191.255
Artie,WV 191.344
Scarbro,WV 191.388
Monaville,WV 191.41
Rainelle,WV 191.438
Mousie,KY 191.52
Holly Ridge,NC 191.54
Gasburg,VA 191.577
Andersonville,TN 191.593
Morganton,GA 191.636
Borderland,WV 191.733
Tellico Plains,TN 191.816
Stanville,KY 191.83
Wendover,KY 191.905
Lackey,KY 192.059
Ladys Island,SC 192.079
Logan,WV 192.103
Minden,WV 192.144
Hines,WV 192.166
Oak Hill,WV 192.181
Warbranch,KY 192.356
Tram,KY 192.4
Garrett,KY 192.401
Stollings,WV 192.412
Statesboro,GA 192.507
Victoria,VA 192.604
Blair,WV 192.715
Hoskinston,KY 192.729
Clairfield,TN 192.866
Trenton,NC 192.891
Sandersville,GA 192.95
Rutledge,GA 192.957
Hampden Sydney,VA 193.056
Hardburly,KY 193.118
Clothier,WV 193.142
Dacula,GA 193.208
Ethel,WV 193.294
Buena Vista,VA 193.329
Mount Gay,WV 193.358
Roanoke Rapids,NC 193.363
Langley,KY 193.418
Wilkinson,WV 193.479
Amherst,VA 193.502
Banner,KY 193.509
Dothan,WV 193.512
Henlawson,WV 193.548
Dana,KY 193.549
Dover,NC 193.556
Winterville,NC 193.561
Peach Creek,WV 193.568
Prospect,VA 193.592
Ivel,KY 193.669
Lexington,VA 193.674
Grifton,NC 193.731
Ayden,NC 193.741
Cora,WV 193.753
Portal,GA 193.762
Arjay,KY 193.778
Nolan,WV 193.825
Charmco,WV 193.877
Bim,WV 193.926
Holden,WV 193.928
Pruden,TN 193.935
Valentines,VA 193.942
Rupert,WV 193.997
Eatonton,GA 194.01
Eastern,KY 194.059
Emmalena,KY 194.068
Summerlee,WV 194.185
Norris,TN 194.206
Whitesville,WV 194.213
Conetoe,NC 194.28
Harrison,GA 194.321
Mineral Bluff,GA 194.369
Clifford,VA 194.511
Pineville,KY 194.519
Dorothy,WV 194.597
Jacksonville,NC 194.611
Springfield,GA 194.639
Buford,GA 194.663
Combs,KY 194.664
Roark,KY 194.694
Lochgelly,WV 194.828
Meredithville,VA 194.874
Port Royal,SC 195.033
Beaufort,SC 195.095
Stinnett,KY 195.124
Vest,KY 195.129
Avawam,KY 195.167
Fisty,KY 195.216
Dwarf,KY 195.254
Dawsonville,GA 195.268
Essie,KY 195.293
Bob White,WV 195.351
Sharples,WV 195.422
Social Circle,GA 195.723
Leslie,WV 195.924
Fourmile,KY 195.939
Martin,KY 196.261
Mount Olive,WV 196.348
Winona,WV 196.375
Van,WV 196.475
Allen,KY 196.513
Walker,KY 196.519
Flat Lick,KY 196.654
Ingram,KY 196.663
Gaston,NC 196.711
Naugatuck,WV 196.746
Saint Helena Island,SC 196.807
Williamsburg,WV 196.845
Verdunville,WV 196.933
Green Bay,VA 196.941
Edmond,WV 196.954
Hot Springs,VA 196.962
Pilgrim,KY 196.969
Hueysville,KY 197.014
Dundas,VA 197.03
Fayetteville,WV 197.216
Kincaid,WV 197.227
Gordon,WV 197.286
Ary,KY 197.293
Lake,WV 197.294
Bonnyman,KY 197.35
Bulan,KY 197.359
Gladstone,VA 197.431
Beverly,KY 197.443
Dwale,KY 197.564
Blue Ridge,GA 197.6
Lookout,WV 197.737
Jackson,KY 197.76
Farmville,VA 197.848
Mccutcheon Field,NC 197.906
Pecks Mill,WV 197.921
Renick,WV 197.933
Ottawa,WV 198.025
Tarawa Terrace,NC 198.045
Lenore,WV 198.095
Lovely,KY 198.098
Bethel,NC 198.117
Farner,TN 198.134
Page,WV 198.175
Jersey,GA 198.188
Busy,KY 198.204
Halifax,NC 198.326
Quinwood,WV 198.336
Lenoir City,TN 198.414
Cove City,NC 198.46
Lawrenceville,VA 198.59
Yerkes,KY 198.656
Hewett,WV 198.678
Dewitt,KY 198.711
Alberta,VA 198.726
Eskdale,WV 198.792
Sneads Ferry,NC 198.884
Hyden,KY 199.096
David,KY 199.14
Kite,GA 199.143
Lansing,WV 199.145
Burkeville,VA 199.173
Lake City,TN 199.187
Robson,WV 199.225
Sylvester,WV 199.24
Twin City,GA 199.313
Loganville,GA 199.354
Eagan,TN 199.387
Clinton,TN 199.479
Weldon,NC 199.531
Madisonville,TN 199.538
Frakes,KY 199.662
Scalf,KY 199.676
La Follette,TN 199.689
Oconee,GA 199.693
Artemus,KY 199.808
Swainsboro,GA 199.815
Grayson,GA 199.866
Powellton,WV 199.965
Hobgood,NC 199.995
Newborn,GA 200.06
Tennille,GA 200.157
Okatie,SC 200.183
Duff,TN 200.206
Marble Hill,GA 200.211
Gunlock,KY 200.275
Nallen,WV 200.326
Orgas,WV 200.368
Thousandsticks,KY 200.375
Prestonsburg,KY 200.383
Jeffrey,WV 200.4
Milledgeville,GA 200.505
Suwanee,GA 200.515
Gallagher,WV 200.522
Lawrenceville,GA 200.564
Guyton,GA 200.837
Tillery,NC 200.921
Seth,WV 201.013
Chapmanville,WV 201.063
Ducktown,TN 201.063
Krypton,KY 201.274
Jacksboro,TN 201.299
Dingess,WV 201.351
Blue River,KY 201.416
Vesuvius,VA 201.526
Simpson,NC 201.535
Oak Ridge,TN 201.566
Piney River,VA 201.599
Big Creek,KY 201.745
Rowdy,KY 201.773
Turtle Creek,WV 201.797
Cumming,GA 201.824
Hico,WV 201.876
Dice,KY 201.993
Cherrylog,GA 202.035
Debord,KY 202.042
Siler,KY 202.117
Hardeeville,SC 202.127
Madison,WV 202.139
Kermit,WV 202.214
Sizerock,KY 202.252
Arrington,VA 202.265
Parmele,NC 202.282
Bear Branch,KY 202.406
Shady Dale,GA 202.406
Hardwick,GA 202.417
Scotland Neck,NC 202.434
Uneeda,WV 202.494
Turtletown,TN 202.497
Bryants Store,KY 202.501
Bimble,KY 202.533
Loudon,TN 202.546
Rincon,GA 202.567
Beauty,KY 202.576
Oxford,GA 202.761
Kanawha Falls,WV 202.851
Deep Water,WV 202.853
Nottoway,VA 202.912
Charlton Heights,WV 202.924
Maysville,NC 202.951
Dolphin,VA 203.118
Mc Caysville,GA 203.12
Rice,VA 203.23
Midway Park,NC 203.273
Norwood,VA 203.321
Green Road,KY 203.344
Fairfield,VA 203.383
Saul,KY 203.448
Camp Lejeune,NC 203.468
Kimberly,WV 203.485
Brooklet,GA 203.584
Mansfield,GA 203.603
Auxier,KY 203.61
Ansted,WV 203.719
Crewe,VA 203.795
Stokes,NC 203.82
Pollocksville,NC 203.933
Wrightsville,GA 204.058
Rockbridge Baths,VA 204.065
Bluffton,SC 204.089
Epworth,GA 204.209
Bacova,VA 204.216
Reliance,TN 204.234
Garysburg,NC 204.248
Mount Nebo,WV 204.312
Greenville,NC 204.358
Chavies,KY 204.359
Victor,WV 204.38
Danville,WV 204.403
Clayhole,KY 204.553
Leivasy,WV 204.565
Hillsboro,WV 204.611
Pool,WV 204.663
Hinkle,KY 204.718
Glen Ferris,WV 204.737
Warfield,KY 204.875
Breeden,WV 204.958
Sweetwater,TN 204.97
Pulaski,GA 205.017
Gapville,KY 205.061
Snellville,GA 205.072
Harts,WV 205.081
Boomer,WV 205.082
Van Lear,KY 205.085
Big Creek,WV 205.149
Mount Lookout,WV 205.164
Millboro,VA 205.174
Mount Carbon,WV 205.201
Blackstone,VA 205.232
Skippers,VA 205.314
Hassell,NC 205.323
Pleasant Hill,NC 205.42
Grimesland,NC 205.617
Comfort,WV 205.638
Foster,WV 205.651
Caryville,TN 205.722
Daufuskie Island,SC 205.829
Coalfield,TN 205.837
Briceville,TN 205.852
Royalton,KY 205.873
Vanceboro,NC 205.881
Freeman,VA 205.932
Dawes,WV 205.943
Englewood,TN 205.946
Montgomery,WV 205.999
Tyro,VA 206.002
Metter,GA 206.04
Heidrick,KY 206.078
Goose Rock,KY 206.103
Brownsburg,VA 206.147
Stillmore,GA 206.196
Eriline,KY 206.22
Cannon,KY 206.243
Miami,WV 206.326
Buckingham,VA 206.33
Robersonville,NC 206.38
Jackson,NC 206.501
Duluth,GA 206.562
Inez,KY 206.577
Ellijay,GA 206.583
Copperhill,TN 206.585
Lost Creek,KY 206.65
Hubert,NC 206.727
Goshen,VA 206.766
Oliver Springs,TN 206.78
Woollum,KY 206.784
Rawlings,VA 206.809
Dillwyn,VA 206.863
Nunez,GA 206.973
Meally,KY 207.031
Gays Creek,KY 207.032
North Metro,GA 207.035
Girdler,KY 207.153
Wingina,VA 207.164
Jodie,WV 207.183
Peytona,WV 207.197
Oak City,NC 207.217
